Year,Race,Driver,Team,Position,GridPosition,Points,Status
2025,19,G BORTOLETO,Kick Sauber,18.0,16.0,0.0,Lapped
2025,19,P GASLY,Alpine,19.0,14.0,0.0,Lapped
2025,19,C SAINZ,Williams,20.0,9.0,0.0,Retired
2025,20,L NORRIS,McLaren,1.0,1.0,25.0,Finished
2025,20,C LECLERC,Ferrari,2.0,2.0,18.0,Finished
2025,20,M VERSTAPPEN,Red Bull Racing,3.0,5.0,15.0,Finished
2025,20,O BEARMAN,Haas F1 Team,4.0,9.0,12.0,Finished
2025,20,O PIASTRI,McLaren,5.0,7.0,10.0,Finished
2025,20,K ANTONELLI,Mercedes,6.0,6.0,8.0,Finished
2025,20,G RUSSELL,Mercedes,7.0,4.0,6.0,Finished
2025,20,L HAMILTON,Ferrari,8.0,3.0,4.0,Finished
2025,20,E OCON,Haas F1 Team,9.0,11.0,2.0,Finished
2025,20,G BORTOLETO,Kick Sauber,10.0,16.0,1.0,Finished
2025,20,Y TSUNODA,Red Bull Racing,11.0,10.0,0.0,Finished
2025,20,A ALBON,Williams,12.0,17.0,0.0,Lapped
2025,20,I HADJAR,Racing Bulls,13.0,8.0,0.0,Lapped
2025,20,L STROLL,Aston Martin,14.0,19.0,0.0,Lapped
2025,20,P GASLY,Alpine,15.0,18.0,0.0,Lapped
2025,20,F COLAPINTO,Alpine,16.0,20.0,0.0,Lapped
2025,20,C SAINZ,Williams,17.0,12.0,0.0,Retired
2025,20,F ALONSO,Aston Martin,18.0,14.0,0.0,Retired
2025,20,N HULKENBERG,Kick Sauber,19.0,13.0,0.0,Retired
2025,20,L LAWSON,Racing Bulls,20.0,15.0,0.0,Retired
2025,21,L NORRIS,McLaren,1.0,1.0,25.0,Finished
2025,21,K ANTONELLI,Mercedes,2.0,2.0,18.0,Finished
2025,21,M VERSTAPPEN,Red Bull Racing,3.0,19.0,15.0,Finished
2025,21,G RUSSELL,Mercedes,4.0,6.0,12.0,Finished
2025,21,O PIASTRI,McLaren,5.0,4.0,10.0,Finished
2025,21,O BEARMAN,Haas F1 Team,6.0,8.0,8.0,Finished
2025,21,L LAWSON,Racing Bulls,7.0,7.0,6.0,Finished
2025,21,I HADJAR,Racing Bulls,8.0,5.0,4.0,Finished
2025,21,N HULKENBERG,Kick Sauber,9.0,10.0,2.0,Finished
2025,21,P GASLY,Alpine,10.0,9.0,1.0,Finished
2025,21,A ALBON,Williams,11.0,12.0,0.0,Finished
2025,21,E OCON,Haas F1 Team,12.0,20.0,0.0,Finished
2025,21,C SAINZ,Williams,13.0,15.0,0.0,Finished
2025,21,F ALONSO,Aston Martin,14.0,11.0,0.0,Finished
2025,21,F COLAPINTO,Alpine,15.0,16.0,0.0,Finished
2025,21,L STROLL,Aston Martin,16.0,14.0,0.0,Finished
2025,21,Y TSUNODA,Red Bull Racing,17.0,17.0,0.0,Finished
2025,21,L HAMILTON,Ferrari,18.0,13.0,0.0,Retired
2025,21,C LECLERC,Ferrari,19.0,3.0,0.0,Retired
2025,21,G BORTOLETO,Kick Sauber,20.0,18.0,0.0,Retired
2025,22,M VERSTAPPEN,Red Bull Racing,1.0,2.0,25.0,Finished
2025,22,G RUSSELL,Mercedes,2.0,4.0,18.0,Finished
2025,22,K ANTONELLI,Mercedes,3.0,17.0,15.0,Finished
2025,22,C LECLERC,Ferrari,4.0,9.0,12.0,Finished
2025,22,C SAINZ,Williams,5.0,3.0,10.0,Finished
2025,22,I HADJAR,Racing Bulls,6.0,8.0,8.0,Finished
2025,22,N HULKENBERG,Kick Sauber,7.0,11.0,6.0,Finished
2025,22,L HAMILTON,Ferrari,8.0,19.0,4.0,Finished
2025,22,E OCON,Haas F1 Team,9.0,13.0,2.0,Finished
2025,22,O BEARMAN,Haas F1 Team,10.0,14.0,1.0,Finished
2025,22,F ALONSO,Aston Martin,11.0,7.0,0.0,Finished
2025,22,Y TSUNODA,Red Bull Racing,12.0,20.0,0.0,Finished
2025,22,P GASLY,Alpine,13.0,10.0,0.0,Finished
2025,22,L LAWSON,Racing Bulls,14.0,6.0,0.0,Lapped
2025,22,F COLAPINTO,Alpine,15.0,15.0,0.0,Lapped
2025,22,A ALBON,Williams,16.0,16.0,0.0,Retired
2025,22,G BORTOLETO,Kick Sauber,17.0,18.0,0.0,Retired
2025,22,L STROLL,Aston Martin,18.0,12.0,0.0,Retired
2025,22,L NORRIS,McLaren,19.0,1.0,0.0,Disqualified
2025,22,O PIASTRI,McLaren,20.0,5.0,0.0,Disqualified
2025,23,M VERSTAPPEN,Red Bull Racing,1.0,3.0,25.0,Finished
2025,23,O PIASTRI,McLaren,2.0,1.0,18.0,Finished
2025,23,C SAINZ,Williams,3.0,7.0,15.0,Finished
2025,23,L NORRIS,McLaren,4.0,2.0,12.0,Finished
2025,23,K ANTONELLI,Mercedes,5.0,5.0,10.0,Finished
2025,23,G RUSSELL,Mercedes,6.0,4.0,8.0,Finished
2025,23,F ALONSO,Aston Martin,7.0,8.0,6.0,Finished
2025,23,C LECLERC,Ferrari,8.0,10.0,4.0,Finished
2025,23,L LAWSON,Racing Bulls,9.0,12.0,2.0,Finished
2025,23,Y TSUNODA,Red Bull Racing,10.0,15.0,1.0,Finished
2025,23,A ALBON,Williams,11.0,14.0,0.0,Finished
2025,23,L HAMILTON,Ferrari,12.0,17.0,0.0,Finished
2025,23,G BORTOLETO,Kick Sauber,13.0,19.0,0.0,Finished
2025,23,F COLAPINTO,Alpine,14.0,20.0,0.0,Lapped
2025,23,E OCON,Haas F1 Team,15.0,16.0,0.0,Lapped
2025,23,P GASLY,Alpine,16.0,9.0,0.0,Lapped
2025,23,L STROLL,Aston Martin,17.0,18.0,0.0,Retired
2025,23,I HADJAR,Racing Bulls,18.0,6.0,0.0,Retired
2025,23,O BEARMAN,Haas F1 Team,19.0,13.0,0.0,Retired
2025,23,N HULKENBERG,Kick Sauber,20.0,11.0,0.0,Retired
2025,24,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished
2025,24,O PIASTRI,McLaren,2.0,3.0,18.0,Finished
2025,24,L NORRIS,McLaren,3.0,2.0,15.0,Finished
2025,24,C LECLERC,Ferrari,4.0,5.0,12.0,Finished
2025,24,G RUSSELL,Mercedes,5.0,4.0,10.0,Finished
2025,24,F ALONSO,Aston Martin,6.0,6.0,8.0,Finished
2025,24,E OCON,Haas F1 Team,7.0,8.0,6.0,Finished
2025,24,L HAMILTON,Ferrari,8.0,16.0,4.0,Finished
2025,24,N HULKENBERG,Kick Sauber,9.0,18.0,2.0,Finished
2025,24,L STROLL,Aston Martin,10.0,15.0,1.0,Finished
2025,24,G BORTOLETO,Kick Sauber,11.0,7.0,0.0,Finished
2025,24,O BEARMAN,Haas F1 Team,12.0,11.0,0.0,Finished
2025,24,C SAINZ,Williams,13.0,12.0,0.0,Finished
2025,24,Y TSUNODA,Red Bull Racing,14.0,10.0,0.0,Finished
2025,24,K ANTONELLI,Mercedes,15.0,14.0,0.0,Finished
2025,24,A ALBON,Williams,16.0,17.0,0.0,Finished
2025,24,I HADJAR,Racing Bulls,17.0,9.0,0.0,Lapped
2025,24,L LAWSON,Racing Bulls,18.0,13.0,0.0,Lapped
2025,24,P GASLY,Alpine,19.0,19.0,0.0,Lapped
2025,24,F COLAPINTO,Alpine,20.0,20.0,0.0,Lapped
