Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status
2025,20,N HULKENBERG,Kick Sauber,13.0,77.251,77.016,,
2025,20,F ALONSO,Aston Martin,14.0,77.232,77.103,,
2025,20,L LAWSON,Racing Bulls,15.0,76.961,78.072,,
2025,20,G BORTOLETO,Kick Sauber,16.0,77.412,,,
2025,20,A ALBON,Williams,17.0,77.49,,,
2025,20,P GASLY,Alpine,18.0,77.546,,,
2025,20,L STROLL,Aston Martin,19.0,77.606,,,
2025,20,F COLAPINTO,Alpine,20.0,77.67,,,
2025,21,L NORRIS,McLaren,1.0,69.656,69.616,69.511,
2025,21,K ANTONELLI,Mercedes,2.0,70.192,69.774,69.685,
2025,21,C LECLERC,Ferrari,3.0,69.934,69.801,69.805,
2025,21,O PIASTRI,McLaren,4.0,69.928,69.835,69.886,
2025,21,I HADJAR,Racing Bulls,5.0,70.083,69.97,69.931,
2025,21,G RUSSELL,Mercedes,6.0,69.935,69.88,69.942,
2025,21,L LAWSON,Racing Bulls,7.0,70.108,69.95,69.962,
2025,21,O BEARMAN,Haas F1 Team,8.0,69.891,69.755,69.977,
2025,21,P GASLY,Alpine,9.0,69.885,69.857,70.002,
2025,21,N HULKENBERG,Kick Sauber,10.0,70.337,69.985,70.039,
2025,21,F ALONSO,Aston Martin,11.0,70.181,70.001,,
2025,21,A ALBON,Williams,12.0,70.115,70.053,,
2025,21,L HAMILTON,Ferrari,13.0,70.016,70.1,,
2025,21,L STROLL,Aston Martin,14.0,70.041,70.161,,
2025,21,C SAINZ,Williams,15.0,70.184,70.472,,
2025,21,M VERSTAPPEN,Red Bull Racing,16.0,70.403,,,
2025,21,E OCON,Haas F1 Team,17.0,70.438,,,
2025,21,F COLAPINTO,Alpine,18.0,70.632,,,
2025,21,Y TSUNODA,Red Bull Racing,19.0,70.711,,,
2025,21,G BORTOLETO,Kick Sauber,,,,,
2025,22,L NORRIS,McLaren,1.0,115.473,111.379,107.934,
2025,22,M VERSTAPPEN,Red Bull Racing,2.0,113.458,111.593,108.257,
2025,22,C SAINZ,Williams,3.0,114.873,111.144,108.296,
2025,22,G RUSSELL,Mercedes,4.0,113.144,110.935,108.803,
2025,22,O PIASTRI,McLaren,5.0,114.544,112.126,108.961,
2025,22,L LAWSON,Racing Bulls,6.0,114.828,111.621,109.062,
