Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,VER,Red Bull Racing,40.0,81.625,3.0,HARD,3.0,Top 5,0.0,1.0,-2.0,0.22299999999999898,Middle,94.44444444444444
2025,16,VER,Red Bull Racing,41.0,81.358,3.0,HARD,4.0,Top 5,0.0,1.0,-2.0,-0.2669999999999959,Late,94.44444444444444
2025,16,VER,Red Bull Racing,42.0,81.445,3.0,HARD,5.0,Top 5,0.0,1.0,-2.0,0.08699999999998909,Late,94.44444444444444
2025,16,VER,Red Bull Racing,43.0,81.32,3.0,HARD,6.0,Top 5,0.0,1.0,-2.0,-0.125,Late,94.44444444444444
2025,16,VER,Red Bull Racing,44.0,81.289,3.0,HARD,7.0,Top 5,0.0,1.0,-2.0,-0.0309999999999917,Late,94.44444444444444
2025,16,VER,Red Bull Racing,45.0,81.353,3.0,HARD,8.0,Top 5,0.0,1.0,-2.0,0.06399999999999295,Late,94.44444444444444
2025,16,VER,Red Bull Racing,46.0,81.325,2.0,HARD,9.0,Top 5,0.0,1.0,-1.0,-0.027999999999991587,Late,94.44444444444444
2025,16,VER,Red Bull Racing,47.0,81.336,1.0,HARD,10.0,Top 5,0.0,1.0,0.0,0.01099999999999568,Late,94.44444444444444
2025,16,VER,Red Bull Racing,48.0,81.316,1.0,HARD,11.0,Top 5,0.0,1.0,0.0,-0.01999999999999602,Late,94.44444444444444
2025,16,VER,Red Bull Racing,49.0,81.328,1.0,HARD,12.0,Top 5,0.0,1.0,0.0,0.012000000000000455,Late,94.44444444444444
2025,16,VER,Red Bull Racing,50.0,81.297,1.0,HARD,13.0,Top 5,0.0,1.0,0.0,-0.03100000000000591,Late,94.44444444444444
2025,16,VER,Red Bull Racing,51.0,81.749,1.0,HARD,14.0,Top 5,0.0,1.0,0.0,0.4519999999999982,Late,94.44444444444444
2025,16,VER,Red Bull Racing,52.0,81.003,1.0,HARD,15.0,Top 5,0.0,1.0,0.0,-0.7459999999999951,Late,94.44444444444444
2025,16,VER,Red Bull Racing,53.0,81.1,1.0,HARD,16.0,Top 5,0.0,1.0,0.0,0.0969999999999942,Late,94.44444444444444
2025,16,NOR,McLaren,1.0,87.43,2.0,MEDIUM,1.0,Top 5,0.0,2.0,0.0,-0.018999999999991246,Early,83.33333333333334
2025,16,NOR,McLaren,2.0,83.889,1.0,MEDIUM,2.0,Top 5,0.0,2.0,1.0,-3.541000000000011,Early,83.33333333333334
2025,16,NOR,McLaren,3.0,83.674,1.0,MEDIUM,3.0,Top 5,0.0,2.0,1.0,-0.2149999999999892,Early,83.33333333333334
2025,16,NOR,McLaren,4.0,84.819,2.0,MEDIUM,4.0,Top 5,0.0,2.0,0.0,1.144999999999996,Early,83.33333333333334
2025,16,NOR,McLaren,5.0,84.238,2.0,MEDIUM,5.0,Top 5,0.0,2.0,0.0,-0.5810000000000031,Early,83.33333333333334
2025,16,NOR,McLaren,6.0,83.887,2.0,MEDIUM,6.0,Top 5,0.0,2.0,0.0,-0.3509999999999991,Early,83.33333333333334
2025,16,NOR,McLaren,7.0,83.538,2.0,MEDIUM,7.0,Top 5,0.0,2.0,0.0,-0.34900000000000375,Early,83.33333333333334
2025,16,NOR,McLaren,8.0,83.518,2.0,MEDIUM,8.0,Top 5,0.0,2.0,0.0,-0.01999999999999602,Early,83.33333333333334
2025,16,NOR,McLaren,9.0,83.477,2.0,MEDIUM,9.0,Top 5,0.0,2.0,0.0,-0.04099999999999682,Early,83.33333333333334
2025,16,NOR,McLaren,10.0,83.416,2.0,MEDIUM,10.0,Top 5,0.0,2.0,0.0,-0.06100000000000705,Early,83.33333333333334
2025,16,NOR,McLaren,11.0,83.36,2.0,MEDIUM,11.0,Top 5,0.0,2.0,0.0,-0.055999999999997385,Early,83.33333333333334
2025,16,NOR,McLaren,12.0,83.294,2.0,MEDIUM,12.0,Top 5,0.0,2.0,0.0,-0.0660000000000025,Early,83.33333333333334
2025,16,NOR,McLaren,13.0,83.293,2.0,MEDIUM,13.0,Top 5,0.0,2.0,0.0,-0.000999999999990564,Early,83.33333333333334
2025,16,NOR,McLaren,14.0,83.509,2.0,MEDIUM,14.0,Top 5,0.0,2.0,0.0,0.21599999999999397,Early,83.33333333333334
2025,16,NOR,McLaren,15.0,83.059,2.0,MEDIUM,15.0,Top 5,0.0,2.0,0.0,-0.45000000000000284,Early,83.33333333333334
2025,16,NOR,McLaren,16.0,83.089,2.0,MEDIUM,16.0,Top 5,0.0,2.0,0.0,0.030000000000001137,Middle,83.33333333333334
2025,16,NOR,McLaren,17.0,83.232,2.0,MEDIUM,17.0,Top 5,0.0,2.0,0.0,0.14300000000000068,Middle,83.33333333333334
