Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status,BestQualifyingTime,GapToPole,QualifyingPerformance
2025,18,F ALONSO,Aston Martin,10.0,90.745,90.054,89.955,,89.955,0.796999999999997,50.0
2025,18,N HULKENBERG,Kick Sauber,11.0,90.715,90.141,89.637,,89.637,0.4789999999999992,55.00000000000001
2025,18,L LAWSON,Racing Bulls,12.0,90.681,90.32,89.637,,89.637,0.4789999999999992,60.0
2025,18,Y TSUNODA,Red Bull Racing,13.0,90.574,90.353,89.637,,89.637,0.4789999999999992,65.0
2025,18,G BORTOLETO,Kick Sauber,14.0,90.82,89.936,89.637,,89.637,0.4789999999999992,70.0
2025,18,L STROLL,Aston Martin,15.0,90.949,89.936,89.637,,89.637,0.4789999999999992,75.0
2025,18,F COLAPINTO,Alpine,16.0,90.982,89.936,89.637,,89.637,0.4789999999999992,80.0
2025,18,E OCON,Haas F1 Team,17.0,90.989,89.936,89.637,,89.637,0.4789999999999992,85.0
2025,18,P GASLY,Alpine,18.0,91.261,89.936,89.637,,89.637,0.4789999999999992,90.0
2025,18,A ALBON,Williams,19.0,90.497,89.936,89.637,,89.637,0.4789999999999992,95.0
2025,18,C SAINZ,Williams,20.0,90.497,89.936,89.637,,89.637,0.4789999999999992,100.0
2025,19,M VERSTAPPEN,Red Bull Racing,1.0,93.207,92.701,92.51,,92.51,0.0,5.0
2025,19,L NORRIS,McLaren,2.0,93.843,92.876,92.801,,92.801,0.2909999999999968,10.0
2025,19,C LECLERC,Ferrari,3.0,93.525,92.869,92.807,,92.807,0.29699999999999704,15.0
2025,19,G RUSSELL,Mercedes,4.0,93.311,93.058,92.826,,92.826,0.3159999999999883,20.0
2025,19,L HAMILTON,Ferrari,5.0,93.685,92.914,92.912,,92.912,0.402000000000001,25.0
2025,19,O PIASTRI,McLaren,6.0,93.746,93.228,93.084,,93.084,0.5739999999999981,30.0
2025,19,K ANTONELLI,Mercedes,7.0,93.501,93.044,93.114,,93.044,0.5339999999999918,35.0
2025,19,O BEARMAN,Haas F1 Team,8.0,93.921,93.238,93.139,,93.139,0.6289999999999907,40.0
2025,19,C SAINZ,Williams,9.0,93.739,93.124,93.15,,93.124,0.6139999999999901,45.0
2025,19,F ALONSO,Aston Martin,10.0,93.741,93.237,93.16,,93.16,0.6499999999999915,50.0
2025,19,N HULKENBERG,Kick Sauber,11.0,93.551,93.334,92.998,,92.998,0.48799999999999955,55.00000000000001
2025,19,L LAWSON,Racing Bulls,12.0,93.549,93.36,92.998,,92.998,0.48799999999999955,60.0
2025,19,Y TSUNODA,Red Bull Racing,13.0,93.935,93.466,92.998,,92.998,0.48799999999999955,65.0
2025,19,P GASLY,Alpine,14.0,93.599,93.651,92.998,,92.998,0.48799999999999955,70.0
2025,19,F COLAPINTO,Alpine,15.0,94.039,94.044,92.998,,92.998,0.48799999999999955,75.0
2025,19,G BORTOLETO,Kick Sauber,16.0,94.125,93.228,92.998,,92.998,0.48799999999999955,80.0
2025,19,E OCON,Haas F1 Team,17.0,94.136,93.228,92.998,,92.998,0.48799999999999955,85.0
2025,19,L STROLL,Aston Martin,18.0,94.54,93.228,92.998,,92.998,0.48799999999999955,90.0
2025,19,A ALBON,Williams,19.0,94.69,93.228,92.998,,92.998,0.48799999999999955,95.0
2025,19,I HADJAR,Racing Bulls,20.0,93.741,93.228,92.998,,92.998,0.48799999999999955,100.0
2025,20,L NORRIS,McLaren,1.0,76.899,76.252,75.586,,75.586,0.0,5.0
2025,20,C LECLERC,Ferrari,2.0,77.024,76.658,75.848,,75.848,0.26200000000000045,10.0
2025,20,L HAMILTON,Ferrari,3.0,76.736,76.458,75.938,,75.938,0.35200000000000387,15.0
2025,20,G RUSSELL,Mercedes,4.0,76.895,76.537,76.034,,76.034,0.4480000000000075,20.0
2025,20,M VERSTAPPEN,Red Bull Racing,5.0,77.076,76.605,76.07,,76.07,0.48399999999999466,25.0
2025,20,K ANTONELLI,Mercedes,6.0,77.291,76.773,76.118,,76.118,0.5319999999999965,30.0
2025,20,C SAINZ,Williams,7.0,77.171,76.607,76.172,,76.172,0.5859999999999985,35.0
2025,20,O PIASTRI,McLaren,8.0,77.158,76.737,76.174,,76.174,0.5880000000000081,40.0
2025,20,I HADJAR,Racing Bulls,9.0,76.733,76.804,76.252,,76.252,0.6659999999999968,45.0
2025,20,O BEARMAN,Haas F1 Team,10.0,77.04,76.787,76.46,,76.46,0.8739999999999952,50.0
